物件ID,物件名,検針完了日
P000001,パルハイツ平田,2025-06-09
P000002,パルハイツ平田,
P000006,コ－ポひろた,
P000007,コーポ吉嶺,
P000014,ユートピア与儀,
P000019,岸本アパート,
P000020,司アパート,
P000021,山口アパート,
P000033,コーポ新垣,
P000038,アーバン繁多川,
P000053,サンハウス,
P000054,赤田住宅,
P000057,ユートピア鳥堀,
P000062,平田 平和通り店舗1・2階,
P000065,ユートピア古島,
P000066,ユートピア内間,
P000068,ユートピア繁多川,
P000069,ユートピア新都心,
P000076,コーポゼロ,
P000091,コーポ西里,
P000096,ラ・ポール泊,
P000099,平産業ビル,
P000101,山里ビル,
P000104,友寄アパート,
P000110,具志堅アパート,
P000112,パティオB’S宮城Ⅰ,
P000113,パティオB’S宮城Ⅱ,
P000124,マ・メゾン前島,
P000129,沖縄映像センタービル,
P000131,宇良ビル,
P000139,立津アパート,
P000140,屋良アパート,
P000148,メゾンソレイユ,
P000150,トラスト牧志,
P000152,レアグラ前島,
P000157,伊礼開発ｱﾊﾟｰﾄ,
P000158,カサ・デ共和マンションB棟,
